case	surface	fixture	mutation	authority	testOnly	bitwidth	overflow	temporal	rewrite	signature	digest	producerKey	independentKey	writer	outcome	detail
18	serialization	0:FORBID:18	base	custom	false	0	FORBID	cGxhaW4=	cGxhaW4=	zrHkuK0=	0fc83e728c3ec90004ad002939b13748c691d5a71798d3eb95d8bb4adf1182d4	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4yOs6x5LitXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4yOs6x5LitXXswOn0=	-	UNEXPORTED	
19	serialization	0:FORBID:19	base	custom	false	0	FORBID	cGxhaW4=	cGxhaW4=	8J+YgA==	779fe3c3e44d6945c1fdaafe2f9aee1bd6c0754aab7d4678c90868b25bf4748a	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4yOvCfmIBdezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4yOvCfmIBdezA6fQ==	-	UNEXPORTED	
20	serialization	0:FORBID:20	base	custom	false	0	FORBID	cGxhaW4=	cGxhaW4=	ZcyB	4647daa25d3c4d4f782e7080825be82531fc265737712ac16ccc4d812fee0f33	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4yOmXMgV17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4yOmXMgV17MDp9	-	UNEXPORTED	
21	serialization	0:FORBID:21	base	custom	false	0	FORBID	cGxhaW4=	cGxhaW4=	eAB5	3a9496bd28d174b4a6741f0fb81acf3fcbb5867e3d62a837239bf075fce7e019	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4zOngAeV17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4zOngAeV17MDp9	-	UNEXPORTED	
22	serialization	0:MODULAR:0	base	custom	false	0	MODULAR	cGxhaW4=	cGxhaW4=	cGxhaW4=	7380470e7ba2f68c6ae27e9d079639281f4d3d574a28295ec9f2b1d0df40519d	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluNTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluNTpwbGFpbl17MDp9	-	UNEXPORTED	
23	serialization	0:MODULAR:1	base	custom	false	0	MODULAR	W117fTowMTI=	cGxhaW4=	cGxhaW4=	e078e3c0e010b14dc4355f31da3d96a25b12a862c79702b128ffc25663ece32b	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjg6W117fTowMTI1OnBsYWluNTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjg6W117fTowMTI1OnBsYWluNTpwbGFpbl17MDp9	-	UNEXPORTED	
24	serialization	0:MODULAR:2	base	custom	false	0	MODULAR	cXVvdGUic2xhc2hc	cGxhaW4=	cGxhaW4=	b7a9dc1d810322103acbcbb6f8dbe3727be4306089f63480b6a971f96f100c1a	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjEyOnF1b3RlInNsYXNoXDU6cGxhaW41OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjEyOnF1b3RlInNsYXNoXDU6cGxhaW41OnBsYWluXXswOn0=	-	UNEXPORTED	
25	serialization	0:MODULAR:3	base	custom	false	0	MODULAR	bGluZQpuZXh0CWNlbGw=	cGxhaW4=	cGxhaW4=	902176eff0d2cd2660a29c77692061f5585ca22770f7516e407801b87c3a21cf	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjE0OmxpbmUKbmV4dAljZWxsNTpwbGFpbjU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjE0OmxpbmUKbmV4dAljZWxsNTpwbGFpbjU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
26	serialization	0:MODULAR:4	base	custom	false	0	MODULAR	zrHkuK0=	cGxhaW4=	cGxhaW4=	ec1003b54deb39d6ed2de4be095d772185fad3ab0de80eba584c85f452590f15	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjI6zrHkuK01OnBsYWluNTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjI6zrHkuK01OnBsYWluNTpwbGFpbl17MDp9	-	UNEXPORTED	
27	serialization	0:MODULAR:5	base	custom	false	0	MODULAR	8J+YgA==	cGxhaW4=	cGxhaW4=	6e814712c1826b1462fd2d07a35b3410e3580889dc76fb1c269c824772ec16c6	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjI68J+YgDU6cGxhaW41OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjI68J+YgDU6cGxhaW41OnBsYWluXXswOn0=	-	UNEXPORTED	
28	serialization	0:MODULAR:6	base	custom	false	0	MODULAR	ZcyB	cGxhaW4=	cGxhaW4=	961c1da1331669196a080b901ee9c8f8afea4f4722a99fa6f58ef24b10dd984b	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjI6ZcyBNTpwbGFpbjU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjI6ZcyBNTpwbGFpbjU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
29	serialization	0:MODULAR:7	base	custom	false	0	MODULAR	eAB5	cGxhaW4=	cGxhaW4=	9c9ed45eea5c87ca8025ed5cdc83fe12fd85d52361e3112bd98c18845f209ff7	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjM6eAB5NTpwbGFpbjU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjM6eAB5NTpwbGFpbjU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
30	serialization	0:MODULAR:8	base	custom	false	0	MODULAR	cGxhaW4=	W117fTowMTI=	cGxhaW4=	08c59b7d610d5e7f4aa71bddd824c92f11e1f56c14ad4e0a59e1a0fbce8d1c34	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW44Oltde306MDEyNTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW44Oltde306MDEyNTpwbGFpbl17MDp9	-	UNEXPORTED	
31	serialization	0:MODULAR:9	base	custom	false	0	MODULAR	cGxhaW4=	cXVvdGUic2xhc2hc	cGxhaW4=	396965393de2afa4406e66511e5690b0929ff6d7d5c6a8d17cc7d3a7a0098e5f	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4xMjpxdW90ZSJzbGFzaFw1OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4xMjpxdW90ZSJzbGFzaFw1OnBsYWluXXswOn0=	-	UNEXPORTED	
32	serialization	0:MODULAR:10	base	custom	false	0	MODULAR	cGxhaW4=	bGluZQpuZXh0CWNlbGw=	cGxhaW4=	28220c0b14d6ac3032200529f5a70bf66ed1fa930df3d1d0d347496c29c02478	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4xNDpsaW5lCm5leHQJY2VsbDU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4xNDpsaW5lCm5leHQJY2VsbDU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
33	serialization	0:MODULAR:11	base	custom	false	0	MODULAR	cGxhaW4=	zrHkuK0=	cGxhaW4=	85225fe085eab4e740191c280fa321ea60359d709fa6df826f7ca3f0ef906172	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4yOs6x5LitNTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4yOs6x5LitNTpwbGFpbl17MDp9	-	UNEXPORTED	
34	serialization	0:MODULAR:12	base	custom	false	0	MODULAR	cGxhaW4=	8J+YgA==	cGxhaW4=	ed77b3ad5ab556c67363617fa082c6c727372141b64d5c7fe97f347d56fbc94d	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4yOvCfmIA1OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4yOvCfmIA1OnBsYWluXXswOn0=	-	UNEXPORTED	
35	serialization	0:MODULAR:13	base	custom	false	0	MODULAR	cGxhaW4=	ZcyB	cGxhaW4=	c973ef983ea9cc868e497ad15f5515eb7235aa15e92a23bf8a3ba0e4e1c27a2d	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4yOmXMgTU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4yOmXMgTU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
36	serialization	0:MODULAR:14	base	custom	false	0	MODULAR	cGxhaW4=	eAB5	cGxhaW4=	87ab5d9c6cdc6335585dad408a7bb4dd6ed62bab7c77228356905ac66ca61720	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4zOngAeTU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW4zOngAeTU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
37	serialization	0:MODULAR:15	base	custom	false	0	MODULAR	cGxhaW4=	cGxhaW4=	W117fTowMTI=	e3ee5e52c5555a6a9d004713a273a2c11c0b3c64c3a84bc8418c86577b9671e3	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluODpbXXt9OjAxMl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluODpbXXt9OjAxMl17MDp9	-	UNEXPORTED	
38	serialization	0:MODULAR:16	base	custom	false	0	MODULAR	cGxhaW4=	cGxhaW4=	cXVvdGUic2xhc2hc	b69b4dc2b5042d0c4bf909d5ef14cd835defb4a851c3c7559fa207391ed0f8d2	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMTI6cXVvdGUic2xhc2hcXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMTI6cXVvdGUic2xhc2hcXXswOn0=	-	UNEXPORTED	
39	serialization	0:MODULAR:17	base	custom	false	0	MODULAR	cGxhaW4=	cGxhaW4=	bGluZQpuZXh0CWNlbGw=	06c10e266a95d8fbf42318d311b97ff5ab81e695f320877266b3dd5ed5611e67	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMTQ6bGluZQpuZXh0CWNlbGxdezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMTQ6bGluZQpuZXh0CWNlbGxdezA6fQ==	-	UNEXPORTED	
40	serialization	0:MODULAR:18	base	custom	false	0	MODULAR	cGxhaW4=	cGxhaW4=	zrHkuK0=	8c67cca6ba52ee3fe5deebeb1984630fb94e1721f6bf2c908e3708c14dc97790	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMjrOseS4rV17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMjrOseS4rV17MDp9	-	UNEXPORTED	
41	serialization	0:MODULAR:19	base	custom	false	0	MODULAR	cGxhaW4=	cGxhaW4=	8J+YgA==	a4517d972c22bdc950fce5d15f629a4adb6b79b9b0dad9f1ae82528c3f85b6f1	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMjrwn5iAXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMjrwn5iAXXswOn0=	-	UNEXPORTED	
42	serialization	0:MODULAR:20	base	custom	false	0	MODULAR	cGxhaW4=	cGxhaW4=	ZcyB	34e15cfd1f2b2997ad3d901831b394abfd89289c33a7c5c65ac56c34fb08d2c5	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMjplzIFdezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMjplzIFdezA6fQ==	-	UNEXPORTED	
43	serialization	0:MODULAR:21	base	custom	false	0	MODULAR	cGxhaW4=	cGxhaW4=	eAB5	60e69279e714df38695808514dc695676724e80fbe12b2ddf5d688562357db7f	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMzp4AHldezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDc6TU9EVUxBUjU6cGxhaW41OnBsYWluMzp4AHldezA6fQ==	-	UNEXPORTED	
44	serialization	4:FORBID:0	base	custom	false	4	FORBID	cGxhaW4=	cGxhaW4=	cGxhaW4=	3eed16560dc63e03cb99515f3d1db2de17928f73470e998b144a8ae302c504ce	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklENTpwbGFpbjU6cGxhaW41OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklENTpwbGFpbjU6cGxhaW41OnBsYWluXXswOn0=	-	UNEXPORTED	
45	serialization	4:FORBID:1	base	custom	false	4	FORBID	W117fTowMTI=	cGxhaW4=	cGxhaW4=	4ffbb5e65836a1e97e45801bc5fff44759088e06dac63649242926d460f98b2c	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklEODpbXXt9OjAxMjU6cGxhaW41OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklEODpbXXt9OjAxMjU6cGxhaW41OnBsYWluXXswOn0=	-	UNEXPORTED	
46	serialization	4:FORBID:2	base	custom	false	4	FORBID	cXVvdGUic2xhc2hc	cGxhaW4=	cGxhaW4=	c17d7d0faa450e5d50442f15477ee987003d4edb58b73697d810e9fbd7fa93e1	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklEMTI6cXVvdGUic2xhc2hcNTpwbGFpbjU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklEMTI6cXVvdGUic2xhc2hcNTpwbGFpbjU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
47	serialization	4:FORBID:3	base	custom	false	4	FORBID	bGluZQpuZXh0CWNlbGw=	cGxhaW4=	cGxhaW4=	29a1ee1b312019f3f2047397dd07ff301500a9d4bed27bcb33ca8330a32c944f	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklEMTQ6bGluZQpuZXh0CWNlbGw1OnBsYWluNTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklEMTQ6bGluZQpuZXh0CWNlbGw1OnBsYWluNTpwbGFpbl17MDp9	-	UNEXPORTED	
48	serialization	4:FORBID:4	base	custom	false	4	FORBID	zrHkuK0=	cGxhaW4=	cGxhaW4=	37700431a635521e698c5b7f163c1b78b78f4706ea506ebd23ad38d92b3be6d2	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklEMjrOseS4rTU6cGxhaW41OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklEMjrOseS4rTU6cGxhaW41OnBsYWluXXswOn0=	-	UNEXPORTED	
49	serialization	4:FORBID:5	base	custom	false	4	FORBID	8J+YgA==	cGxhaW4=	cGxhaW4=	b9615a41c04b5fea8cb90764ed800517f6298b668e8f8f615f45ae38656dce9e	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklEMjrwn5iANTpwbGFpbjU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6NDY6Rk9SQklEMjrwn5iANTpwbGFpbjU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
