surface	fixture	coordinate	producer	writer	verifier	status
leaf-grid	1:3	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6Ql17MDp9fQ==	PRODUCER
leaf-grid	1:4	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	PRODUCER
leaf-grid	1:5	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	PRODUCER
leaf-grid	1:6	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	PRODUCER
leaf-grid	1:7	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	OTp0eXBlL0JPT0xbMDpdezA6fQ==	PRODUCER
leaf-grid	2:0	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MToxODo4OnR5cGUvSU5UWzA6XXswOn19	PRODUCER
leaf-grid	2:1	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	PRODUCER
leaf-grid	2:2	rule	UFJJTUlUSVZFX1NFVF9TSU5HTEVUT04=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	PRODUCER
leaf-grid	2:3	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6Ql17MDp9fQ==	PRODUCER
leaf-grid	2:4	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	PRODUCER
leaf-grid	2:5	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	PRODUCER
leaf-grid	2:6	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	PRODUCER
leaf-grid	2:7	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	OTp0eXBlL0JPT0xbMDpdezA6fQ==	PRODUCER
leaf-grid	3:0	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MToxODo4OnR5cGUvSU5UWzA6XXswOn19	PRODUCER
leaf-grid	3:1	rule	RVhBQ1RfUkVMQVRJT04=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	PRODUCER
leaf-grid	3:2	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	PRODUCER
leaf-grid	3:3	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6Ql17MDp9fQ==	PRODUCER
leaf-grid	3:4	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	PRODUCER
leaf-grid	3:5	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	PRODUCER
leaf-grid	3:6	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	PRODUCER
leaf-grid	3:7	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	OTp0eXBlL0JPT0xbMDpdezA6fQ==	PRODUCER
leaf-grid	4:0	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	MTM6dHlwZS9SRUxBVElPTlswOl17MToxODo4OnR5cGUvSU5UWzA6XXswOn19	PRODUCER
leaf-grid	4:1	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	PRODUCER
leaf-grid	4:2	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	PRODUCER
leaf-grid	4:3	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6Ql17MDp9fQ==	PRODUCER
leaf-grid	4:4	rule	RVhBQ1RfUkVMQVRJT04=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	PRODUCER
leaf-grid	4:5	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	PRODUCER
leaf-grid	4:6	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	PRODUCER
leaf-grid	4:7	rule	UkVKRUNURUQ=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	OTp0eXBlL0JPT0xbMDpdezA6fQ==	PRODUCER
leaf-grid	5:0	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MToxODo4OnR5cGUvSU5UWzA6XXswOn19	PRODUCER
leaf-grid	5:1	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	PRODUCER
leaf-grid	5:2	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	PRODUCER
leaf-grid	5:3	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6Ql17MDp9fQ==	PRODUCER
leaf-grid	5:4	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	PRODUCER
leaf-grid	5:5	rule	RVhBQ1RfUkVMQVRJT04=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	PRODUCER
leaf-grid	5:6	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	PRODUCER
leaf-grid	5:7	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	OTp0eXBlL0JPT0xbMDpdezA6fQ==	PRODUCER
leaf-grid	6:0	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MToxODo4OnR5cGUvSU5UWzA6XXswOn19	PRODUCER
leaf-grid	6:1	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	PRODUCER
leaf-grid	6:2	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	PRODUCER
leaf-grid	6:3	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6Ql17MDp9fQ==	PRODUCER
leaf-grid	6:4	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	PRODUCER
leaf-grid	6:5	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	PRODUCER
leaf-grid	6:6	rule	RVhBQ1RfUkVMQVRJT04=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	PRODUCER
leaf-grid	6:7	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	OTp0eXBlL0JPT0xbMDpdezA6fQ==	PRODUCER
leaf-grid	7:0	rule	UkVKRUNURUQ=	OTp0eXBlL0JPT0xbMDpdezA6fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MToxODo4OnR5cGUvSU5UWzA6XXswOn19	PRODUCER
leaf-grid	7:1	rule	UkVKRUNURUQ=	OTp0eXBlL0JPT0xbMDpdezA6fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	PRODUCER
leaf-grid	7:2	rule	UkVKRUNURUQ=	OTp0eXBlL0JPT0xbMDpdezA6fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	PRODUCER
leaf-grid	7:3	rule	UkVKRUNURUQ=	OTp0eXBlL0JPT0xbMDpdezA6fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6Ql17MDp9fQ==	PRODUCER
leaf-grid	7:4	rule	UkVKRUNURUQ=	OTp0eXBlL0JPT0xbMDpdezA6fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	PRODUCER
leaf-grid	7:5	rule	UkVKRUNURUQ=	OTp0eXBlL0JPT0xbMDpdezA6fQ==	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	PRODUCER
leaf-grid	7:6	rule	UkVKRUNURUQ=	OTp0eXBlL0JPT0xbMDpdezA6fQ==	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	PRODUCER
leaf-grid	7:7	rule	UkVKRUNURUQ=	OTp0eXBlL0JPT0xbMDpdezA6fQ==	OTp0eXBlL0JPT0xbMDpdezA6fQ==	PRODUCER
leaf-grid	8:0	rule	UkVKRUNURUQ=	MTg6dHlwZS9UWVBFX1ZBUklBQkxFWzE6MTpYXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MToxODo4OnR5cGUvSU5UWzA6XXswOn19	PRODUCER
leaf-grid	8:1	rule	UkVKRUNURUQ=	MTg6dHlwZS9UWVBFX1ZBUklBQkxFWzE6MTpYXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	PRODUCER
leaf-grid	8:2	rule	UkVKRUNURUQ=	MTg6dHlwZS9UWVBFX1ZBUklBQkxFWzE6MTpYXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	PRODUCER
leaf-grid	8:3	rule	UkVKRUNURUQ=	MTg6dHlwZS9UWVBFX1ZBUklBQkxFWzE6MTpYXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6Ql17MDp9fQ==	PRODUCER
leaf-grid	8:4	rule	UkVKRUNURUQ=	MTg6dHlwZS9UWVBFX1ZBUklBQkxFWzE6MTpYXXswOn0=	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	PRODUCER
leaf-grid	8:5	rule	UkVKRUNURUQ=	MTg6dHlwZS9UWVBFX1ZBUklBQkxFWzE6MTpYXXswOn0=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	PRODUCER
leaf-grid	8:6	rule	UkVKRUNURUQ=	MTg6dHlwZS9UWVBFX1ZBUklBQkxFWzE6MTpYXXswOn0=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	PRODUCER
